24994,24993,0.00546927,60.2,0.0798784,-8.18804,5304.68, 
24993,24989,0.055192,67.8,0.796256,-13.5239,885.095, 
24989,24988,0.0376802,45.8,0.550324,-3.30704,377.33, 
24988,24987,0.0172656,40,0.254506,-3.18045,910.169, 
24987,24986,0.00671403,70,0.0133837,-2.22291,1548.47, 
24986,24985,0.00531141,70,0.0625761,-14.9832,10207.7, 
24985,24984,0.0162501,70,0.132376,-12.4563,2146.58, 
24984,24983,0.0194646,67.8,0.280816,-13.5239,2509.69, 
24983,24982,0.027434,40,0.404396,-3.18045,572.814, 
24982,24981,0.0327578,60.2,0.478427,-8.18804,885.672, 
24981,24980,0.0109595,70,0.0217669,-2.23639,961.501, 
24980,24979,0.0299792,45.8,0.43785,-3.30704,474.257, 
24979,24978,0.0138788,70,0.027666,-2.22291,749.087, 
24978,24977,0.0203595,70,0.239864,-14.9832,2663, 
24977,24975,0.04559,67.8,0.657727,-13.5239,1071.51, 
24975,24974,0.0443467,28.8394,0.588357,0.197515,0, 
24974,24973,0.0311823,70,0.367372,-14.9832,1738.72, 
24973,24972,0.0128523,45.8,0.187709,-3.30704,1106.25, 
24972,24970,0.0549341,51.4,0.793572,-6.57244,508.423, 
24970,24969,0.0292381,70,0.344467,-14.9832,1854.34, 
24969,24968,0.0201504,70,0.100249,-17.8128,4033.31, 
24968,24967,0.0206799,70,0.0410871,-2.22013,504.149, 
24967,24966,0.0167446,70,0.0833052,-17.8128,4853.69, 
24966,24962,0.149667,67.8,2.15925,-13.5239,326.392, 
24962,24961,0.0273245,60.2,0.399073,-8.18804,1061.78, 
24961,24960,0.0301867,70,0.245906,-12.4563,1155.54, 
24960,24957,0.100581,67.8,1.45109,-13.5239,485.679, 
24957,24956,0.0401628,60.2,0.586576,-8.18804,722.378, 
24956,24955,0.0362143,51.4,0.523148,-6.57244,771.236, 
24955,24954,0.0805529,67.8,1.16214,-13.5239,606.436, 
24954,8578,0.0229999,70,0.270972,-14.9832,2357.29, 
8578,8571,0.239021,67.8,3.44835,-13.5239,204.376, 
