network with nodes 84504, edges 178238, n_valid_edges 177830, avg_distance 2.06769, avg_speed_min 32.3529, avg_speed_max 57.8757, avg_abs_grade 0.690349
id,lat,lon,ele,label
150,63.0274,-143.385,647.3,I-A1@+X948265
151,63.0489,-143.364,620.08,I-A1@OldTokHwy
152,63.0688,-143.352,620.77,I-A1@+X534719
153,63.0829,-143.333,618.31,I-A1@+X773433
154,63.0929,-143.296,599.72,I-A1@+X277555
155,63.1094,-143.294,593.77,I-A1@+TokRivAcc
156,63.1218,-143.308,597.74,I-A1@+X583988
157,63.1606,-143.208,596.03,I-A1@+X939678
158,63.1609,-143.196,597.26,I-A1@EagTrSRS
159,63.1606,-143.179,586.88,I-A1@+X319607
160,63.1879,-143.12,557.08,I-A1@+X31
161,63.2143,-143.038,541.41,I-A1@+X32
162,63.2267,-143.054,540.96,I-A1@EagTr
163,63.2572,-143.037,527.08,I-A1@MooNugRd
164,63.3359,-142.988,499.77,I-A1@AK2
165,63.3241,-142.831,502.67,I-A1@TokSRSRd
166,63.3143,-142.687,493.87,I-A1@+X928778
167,63.3192,-142.619,524.23,I-A1@+X536408
168,63.3112,-142.603,531.08,I-A1@AK5
169,63.2931,-142.558,550.16,I-A1@+X905925
170,63.2905,-142.525,575.85,I-A1@+X203681
171,63.2505,-142.446,534.58,I-A1@+X631067
172,63.2465,-142.413,506.1,I-A1@+X435325
173,63.2309,-142.298,521.96,I-A1@MidLakeTur
174,63.2264,-142.278,533.9,I-A1@+X449271
175,63.2293,-142.248,533.01,I-A1@+X495560
176,63.2006,-142.18,601.21,I-A1@+X297463
177,63.1854,-142.165,554.6,I-A1@+X773846
178,63.1597,-142.091,547.52,I-A1@+X431612
179,63.1207,-142.056,627.2,I-A1@+X549712
180,63.1193,-142.032,624.93,I-A1@+X830476
181,63.097,-141.998,558.69,I-A1@+X878075
182,63.0673,-141.932,579.06,I-A1@+X817563
183,63.0476,-141.828,553.42,I-A1@+X969527
184,63.0108,-141.802,551.41,I-A1@NorRd
185,63.0122,-141.769,562.55,I-A1@+X538064
186,63.007,-141.739,551.48,I-A1@+X382876
187,62.9914,-141.715,580.95,I-A1@+X891768
188,62.9926,-141.689,573.68,I-A1@+X895375
189,62.9642,-141.638,540.67,I-A1@LakCamRd
190,62.9245,-141.549,575.82,I-A1@+X330647
191,62.8839,-141.507,568.46,I-A1@DeaLakeRd
192,62.8548,-141.465,543.71,I-A1@+X860544
193,62.8105,-141.349,625.57,I-A1@+X316448
194,62.7997,-141.3,652.99,I-A1@HidLakeTr
195,62.7871,-141.277,665.68,I-A1@+X120289
196,62.7848,-141.26,679.92,I-A1@+X738769
197,62.7521,-141.207,643.07,I-A1@+X739688
198,62.7406,-141.204,620.55,I-A1@SeaHouRd
199,62.7171,-141.179,677.55,I-A1@+X341162
200,62.7119,-141.185,628.17,I-A1@+X120317
201,62.7053,-141.15,614.6,I-A1@+X346477
202,62.6954,-141.137,602.39,I-A1@+X847382
203,62.6904,-141.14,639.04,I-A1@+X105810
204,62.6859,-141.125,672.46,I-A1@TetRefCen
205,62.6799,-141.115,641.4,I-A1@+X771428
206,62.6805,-141.1,649.21,I-A1@+X247549
207,62.6667,-141.055,561.59,I-A1@+X506606
208,62.6598,-141.057,558.02,I-A1@+X703899
209,62.6152,-141.001,567.05,I-A1@AK/YT
210,63.336,-142.988,499.53,I-A2@AK1
211,63.3395,-143.036,496.64,I-A2@+X710641
212,63.344,-143.1,494.21,I-A2@MakTr
213,63.3598,-143.325,475.26,I-A2@TanAirRd
214,63.3614,-143.349,473.58,I-A2@NewTanRd
215,63.3636,-143.448,469.62,I-A2@+X31
216,63.3605,-143.493,496.34,I-A2@+X30
217,63.3737,-143.547,490.41,I-A2@MoonLakeRd
218,63.39,-143.627,504.46,I-A2@+X29
219,63.3862,-143.695,473.16,I-A2@+TowAccRd
220,63.3886,-143.769,470.62,I-A2@+X28A
221,63.3956,-143.79,466.32,I-A2@+X28
222,63.4603,-143.846,487.82,I-A2@+X655003
223,63.4931,-143.838,486.53,I-A2@+X848854
