id,lat,lon,ele,label
2301,29.6251,-98.6096,326.53,I-10@554/US87
2303,29.5909,-98.5985,300.03,I-10@556&TXLp1604@I-10/87
2304,29.5755,-98.5947,306.28,I-10@557
2305,29.5632,-98.5909,297.79,I-10@558/US87
2308,29.5395,-98.5708,302.88,I-10@560B
2309,29.5312,-98.5622,282.07,I-10@561
2310,29.5114,-98.5524,283.05,I-10@562
2311,29.5016,-98.5485,275.82,I-10@564&I-410@16&US87@I-10(564)
2312,29.4927,-98.5467,249.71,I-10@565A/US87
2313,29.4848,-98.5349,236.83,I-10@565B
2314,29.4813,-98.5256,226.79,I-10@566A/US87
2315,29.4745,-98.5173,215.8,I-10@566B
2316,29.4664,-98.5159,211.53,I-10@566C
2318,29.4533,-98.5151,213.73,I-10@567B&US87@I-10(567)
2319,29.4486,-98.5152,206.18,I-10@568A
2320,29.444,-98.5145,209.01,I-10@568B&US87@I-10(568)
2321,29.4403,-98.509,198.44,I-10@569A/US87
2323,29.4319,-98.5008,197.18,I-10@569C/US87
2324,29.4313,-98.5003,200.18,I-10@570&I-35@156&US87@I-10(570)
2326,29.4225,-98.5013,198.15,I-10@155B(35)&I-35@155B&US87@I-35(155B)
2328,29.4111,-98.5074,191.24,I-10@154B(35)&I-35@154B&US87@I-35(154B)
2330,29.396,-98.5109,189.76,I-10@572&I-35@153&US87/US90@I-10(572)
2331,29.396,-98.4975,188.53,I-10@573/US87/US90
2332,29.3951,-98.4782,182.72,I-10@574&I-37@139&US90@I-10(574)
2333,29.4011,-98.4693,203.31,I-10@575/US87/US90
2334,29.4016,-98.4609,208.77,I-10@576/US87/US90
2335,29.4027,-98.4437,210.04,I-10@577/US87/US90
2336,29.4131,-98.4317,191.2,I-10@578/US90
2337,29.4246,-98.4212,193.68,I-10@579/US90
2338,29.4317,-98.4055,203.34,I-10@580
2339,29.4357,-98.3896,205.66,I-10@581&I-410@33&US90@I-10(581)
2340,29.4386,-98.3806,211.63,I-10@582/US90
2343,29.4653,-98.2918,205.1,I-10@587&TXLp1604@I-10/90&US90@I-10(587)
2344,29.4736,-98.2654,180.64,I-10@589/US90
2345,29.4774,-98.2537,193.55,I-10@589A/US90
2349,29.5195,-98.1373,188.26,I-10@597/US90
2350,29.529,-98.1118,174.39,I-10@599/US90
2351,29.5361,-98.085,192.33,I-10@600/US90
2353,29.5508,-98.042,178.01,I-10@603/US90
2354,29.5608,-98.032,169.52,I-10@604
2356,29.5841,-97.9928,167.99,I-10@607
2357,29.5992,-97.9647,182.84,I-10@609
2358,29.5992,-97.9505,173.87,I-10@610
2359,29.5991,-97.9205,162.56,I-10@612/US90
2360,29.6089,-97.8751,159.38,I-10@615&TX130@I-10
2362,29.62,-97.7871,172.64,I-10@620
2363,29.6448,-97.6973,130.91,I-10@625
2365,29.6524,-97.5926,103.63,I-10@632&US183@I-10
2369,29.6887,-97.2526,103.64,I-10@653/US90
2372,29.6931,-96.9024,115.92,I-10@674/US77
2373,29.6941,-96.8487,97.089,I-10@677/US90
2376,29.6934,-96.5912,76.346,I-10@693
2377,29.6935,-96.5727,67.774,I-10@695
2379,29.7092,-96.5045,63.212,I-10@698/US90
2389,29.7731,-96.0756,45.738,I-10@725/US90
2392,29.781,-95.9949,38.113,I-10@730/US90
2393,29.7787,-95.9673,44.125,I-10@731
2394,29.7788,-95.9509,55.589,I-10@732
2400,29.7853,-95.8017,41.509,I-10@742/US90
2413,29.7843,-95.5755,26.035,I-10@755/US90
2414,29.7843,-95.563,20.222,I-10@756/TXLp8/US90
2423,29.7805,-95.4534,15.009,I-10@763&I-610@11A&US90@I-10(763)
2426,29.7775,-95.4099,11.689,I-10@765B/US90
2427,29.7764,-95.3971,17.854,I-10@766/US90
2429,29.7776,-95.3809,9.9918,I-10@767B/US90
2430,29.7768,-95.369,11.12,I-10@768A&I-45@48B&US90@I-10(768A)
