src, des, distance, speed_min, speed_max, time_min, time_max, grade, grade_key, label
2616,2621,6.01121,33.8739,39.125,0.153641,0.177458,-0.0221058,0,I-10L:I-10L:I-10L:I-10L:I-10L
2616,62584,0.680439,41.5951,67.8,0.010036,0.0163586,0.150417,0,US90R:US90R
2616,62587,2.75081,32.2004,34.5,0.0797336,0.0854278,-0.00268431,0,US90L:US90L
2621,2616,6.01121,41.5951,67.8,0.088661,0.144517,0.0221058,0,I-10R:I-10R:I-10R:I-10R:I-10R
2621,2624,7.90871,38.8343,55.25,0.143144,0.203653,0.0430052,0,I-10L:I-10L:I-10L
2621,20464,2.27178,35.9615,45,0.050484,0.0631726,0.0712388,0,I-510L:I-510L
2624,2621,7.90871,41.5951,67.8,0.116648,0.190136,-0.0430052,0,I-10R:I-10R:I-10R
2624,2627,10.434,38.023,52.25,0.199695,0.274414,0.0269861,0,I-10L:I-10L:I-10L
2624,31216,5.29852,41.5951,67.8,0.0781492,0.127383,-0.0192419,0,US11R:US11R
2624,31223,10.1414,31.9305,35,0.289754,0.317608,-0.0274067,0,US11L:US11L:US11L:US11L:US11L:US11L
2627,2624,10.434,41.5951,67.8,0.153895,0.250848,-0.0269861,0,I-10R:I-10R:I-10R
2627,2628,1.05107,35,42,0.0250254,0.0300305,0.0650124,0,I-10L
2627,31223,1.8015,41.5951,67.8,0.0265707,0.0433103,-0.0664959,0,US190BusSliR:US190BusSliR
2627,69616,2.09764,35.6757,44,0.0476736,0.0587974,-0.0595768,0,US190BusSliL
2628,2627,1.05107,41.5951,67.8,0.0155025,0.025269,-0.0650124,0,I-10R
2628,2629,1.55772,36,45,0.034616,0.04327,0.33039,0,I-10L
2628,31224,1.78776,41.5951,67.8,0.0263682,0.0429801,-0.0207816,0,US190R:US190R
2628,69616,3.91976,35.6579,44,0.0890855,0.109927,-0.0467761,0,US190L:US190L
2629,2628,1.55772,41.5951,67.8,0.0229752,0.0374496,-0.33039,0,I-10R
2629,2631,6.01435,38.8795,56.5,0.106449,0.154692,-0.143688,0,I-10L:I-10L
2629,2796,1.81302,41.5951,67.8,0.0267407,0.0435874,-0.264076,0,I-12R
2629,8354,3.24686,36.6234,47,0.0690821,0.0886554,-0.112296,0,I-59L
2631,2629,6.01435,41.5951,67.8,0.0887072,0.144593,0.143688,0,I-10R:I-10R
2632,2640,34.0185,38.8443,56.4375,0.602764,0.875764,-0.0109177,0,I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L
2640,2632,34.0185,41.5951,67.8,0.501748,0.817849,0.0109177,0,I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R
2640,2644,12.2024,36.3074,46.25,0.263836,0.336086,0.00414842,0,I-10L:I-10L:I-10L:I-10L
2640,46031,0.873508,41.5951,67.8,0.0128836,0.0210003,-0.183813,0,US49R:US49R
2640,46038,8.69357,37.5597,50.875,0.170881,0.23146,0.0637911,0,US49L:US49L:US49L:US49L:US49L:US49L
2644,2640,12.2024,41.5951,67.8,0.179977,0.293362,-0.00414842,0,I-10R:I-10R:I-10R:I-10R
2644,2654,43.2678,37.7489,51.125,0.846314,1.1462,0.066155,0,I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L
2644,17768,2.87082,41.5951,67.8,0.0423425,0.0690182,-0.0612842,0,I-110R:I-110R
2644,23930,2.50248,39.123,56.25,0.0444885,0.0639643,0.041353,0,MS67L:MS67L:MS67L
2654,2644,43.2678,41.5951,67.8,0.638169,1.04021,-0.066155,0,I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R
2654,2655,2.40317,30,48,0.0500659,0.0801055,-0.62235,-5,I-10L
2655,2654,2.40317,40.0443,60.2,0.0399197,0.0600126,0.62235,5,I-10R
2655,2656,1.38756,30,42,0.0330372,0.0462521,-0.474762,-5,I-10L
2655,62666,1.57946,41.5951,67.8,0.0232959,0.0379723,-0.153429,0,US90R
2655,62667,0.637255,33.913,39,0.0163399,0.0187909,0.531814,5,US90L
2656,2655,1.38756,40.0443,60.2,0.0230492,0.0346507,0.474762,5,I-10R
2656,2663,10.4201,30.6175,33.375,0.312212,0.340331,-0.0938964,0,I-10L:I-10L:I-10L:I-10L:I-10L:I-10L:I-10L
2663,2656,10.4201,41.5951,67.8,0.153688,0.250512,0.0938964,0,I-10R:I-10R:I-10R:I-10R:I-10R:I-10R:I-10R
2663,2664,2.54352,37.7868,51.25,0.0496298,0.0673126,-0.0347344,0,US90,US98L:US90,US98L:US90,US98L
2663,62694,0.264855,41.5951,67.8,0.00390642,0.00636746,0.345911,0,US90,US98R
2664,2663,2.54352,41.5951,67.8,0.0375151,0.0611496,0.0347344,0,US90,US98R:US90,US98R:US90,US98R
2664,2665,4.73499,36.9231,48,0.0986457,0.128239,0.0885892,0,I-10L
2664,62697,4.1803,36.9231,48,0.0870895,0.113216,0.0608498,0,US90,US98L
2665,2664,4.73499,41.5951,67.8,0.0698376,0.113835,-0.0885892,0,I-10R
2665,2666,3.59683,35.3425,43,0.0836471,0.101771,0.889977,5,I-10L
2666,2665,3.59683,30,70,0.0513832,0.119894,-0.889977,-5,I-10R
2666,2669,27.0444,39.0933,56.5,0.478662,0.691791,-0.119876,0,I-10L:I-10L:I-10L
2669,2666,27.0444,41.5951,67.8,0.398885,0.650183,0.119876,0,I-10R:I-10R:I-10R
2670,2671,2.29675,40.0443,60.2,0.038152,0.0573551,0.595081,5,I-10L
2671,2670,2.29675,30,70,0.0328107,0.0765583,-0.595081,-5,I-10R
